Betweeness runtime: 16.029
BC results:
Node # 	| Betweenness
2654 	| 0.459038
4748 	| 0.00284779
5672 	| 0
10549 	| 0.00103451
12928 	| 0
13220 	| 0.0261606
14419 	| 0.0055168
17330 	| 0.0246973
17439 	| 0.0787305
18487 	| 0.1431
20850 	| 0.0697048
22779 	| 0
23382 	| 0.235301
24029 	| 0.000865696
11785 	| 0.268636
45 	| 0.0250276
46 	| 0
570 	| 0.0752779
773 	| 0.0256121
1653 	| 0.0695024
2212 	| 0.00267185
2741 	| 0.158425
2952 	| 3.77959e-006
3372 	| 0.00190496
4046 	| 0
4164 	| 0.117044
4511 	| 0.0025458
4513 	| 0
5262 	| 0
6179 	| 0.00817788
6830 	| 3.77959e-006
7956 	| 0.032334
8879 	| 3.77959e-006
11241 	| 0.0330179
11472 	| 3.77959e-006
12365 	| 0.303273
12496 	| 0.0212853
12678 	| 0.0200993
12781 	| 0.159048
12851 	| 3.77959e-006
14540 	| 0.0100602
14807 	| 0.0802614
15659 	| 3.77959e-006
16159 	| 0.0209139
17655 	| 0.486091
17692 	| 3.77959e-006
18894 	| 0.032573
19961 	| 3.77959e-006
20108 	| 3.77959e-006
20562 	| 3.77959e-006
20635 	| 0.00270028
21281 	| 0.260423
21508 	| 0.0871789
21847 	| 0.00192485
22798 	| 0.125014
22887 	| 0.0304159
23293 	| 0.191409
24955 	| 0.0126902
25346 	| 0.0572656
25758 	| 0.224088
934 	| 0.0210253
5579 	| 0
9755 	| 0.126887
10550 	| 0
16032 	| 0.191629
17331 	| 0
17603 	| 0.0022855
20644 	| 0.000853661
22497 	| 0
23387 	| 0
23907 	| 0.00832148
24924 	| 0.309433
25080 	| 0.0241968
12422 	| 0
1339 	| 0.000947885
3164 	| 0.00299935
15580 	| 0.00130521
16393 	| 0
20478 	| 0.280894
20956 	| 0
3890 	| 0.0565903
5621 	| 0.0287553
8824 	| 0
11613 	| 0
12306 	| 0
12860 	| 0
14547 	| 0
18182 	| 0.0131583
21707 	| 0
24696 	| 0.27484
2661 	| 0.00408615
7899 	| 0.0111505
8067 	| 0
8208 	| 0.00876791
11132 	| 0.00817516
11402 	| 0
12980 	| 0.00837319
13364 	| 0.018111
14969 	| 3.19842e-006
16389 	| 0.0999229
18109 	| 0.0125645
18365 	| 0.167412
23038 	| 0.429518
24845 	| 0.00409025
25379 	| 0
13740 	| 0.0477855
4550 	| 0.183653
4702 	| 0
7264 	| 0.0802987
13096 	| 0.450447
14128 	| 0.000558867
19489 	| 0.111636
19527 	| 0.00540219
19784 	| 0
22476 	| 0.0501316
25006 	| 0.353331
25486 	| 0.0130262
26 	| 0
1407 	| 0.00213123
1488 	| 0.44681
8219 	| 0
10762 	| 0.462698
11801 	| 0.0564747
12665 	| 0
12688 	| 0
13142 	| 0.428516
15108 	| 0.246156
15321 	| 0.0342597
20647 	| 0.0116551
20827 	| 0.164935
20879 	| 0.153354
23614 	| 0.307327
3909 	| 0.149522
17979 	| 0.0145187
3872 	| 0.0309696
5109 	| 0
7533 	| 0.0160177
12409 	| 0.000203757
20101 	| 0
23096 	| 0
8862 	| 0.0233839
78 	| 0.00674436
4877 	| 0
7459 	| 0.133863
8254 	| 0.0668585
12155 	| 0
22598 	| 0.186275
24932 	| 0.114079
888 	| 0
1520 	| 0
6468 	| 0.0658515
6627 	| 0
7007 	| 0.410783
7712 	| 0.0937804
10711 	| 0.202903
13614 	| 0.151724
14102 	| 0.0308132
18517 	| 0.0088922
18676 	| 0.0415408
23351 	| 0.0045848
23689 	| 0
24114 	| 0
2465 	| 0.0182322
2592 	| 0
3977 	| 0.0187206
5055 	| 0
5993 	| 0.107569
9265 	| 0
12334 	| 0.13941
19890 	| 0.01979
20341 	| 0
21560 	| 0
17309 	| 0
24833 	| 0.080393
543 	| 0.116641
1958 	| 0.168678
2193 	| 0.000233069
3917 	| 0
6858 	| 0
8148 	| 0
9092 	| 0.00286547
12478 	| 0.0663268
15366 	| 0
18125 	| 0
18398 	| 0
19675 	| 0.00686188
21806 	| 0.0484995
23693 	| 0.00333859
26196 	| 0.000259296
10115 	| 1.96682e-006
10134 	| 0
23916 	| 0
7893 	| 0.04458
593 	| 0.0410791
5510 	| 0.0252352
9360 	| 0.114793
12627 	| 0.0298638
16778 	| 0.0130737
18037 	| 0
18051 	| 0.0607072
13385 	| 0
19578 	| 0
12386 	| 0
13333 	| 0
23896 	| 0.0183007
8978 	| 0
9017 	| 0.157722
15170 	| 0
15455 	| 0.0919577
16589 	| 0.00938219
2255 	| 0.0115176
3056 	| 0
6158 	| 0
7307 	| 0.351364
7324 	| 0.0124659
8365 	| 0.0318296
9023 	| 0
11444 	| 0.00695814
12324 	| 0.00584625
12472 	| 0.0628156
13831 	| 0.0316875
14746 	| 0.436853
16128 	| 0.000506146
17075 	| 0.125702
18875 	| 0.0306062
19900 	| 0.0105097
20000 	| 0.0198235
20806 	| 0
21944 	| 0
21968 	| 0.103007
23302 	| 0
23665 	| 0.0738456
23758 	| 0
24722 	| 0
12045 	| 0
12287 	| 0
14181 	| 0.135978
20257 	| 0.000505937
21613 	| 0.00817508
7510 	| 0
197 	| 0
8851 	| 0.0773422
1343 	| 0
2991 	| 0.00220666
8299 	| 0
15416 	| 0
18088 	| 0.0293077
25286 	| 0.0554842
1254 	| 0.00315545
3420 	| 0.0112973
10130 	| 0.168074
2250 	| 0
3243 	| 0.0128963
7717 	| 0
7985 	| 0.182736
11015 	| 0.0502633
12085 	| 0.0161762
13714 	| 0
14767 	| 0
16056 	| 0.0996225
16994 	| 0.293028
17414 	| 0.0555799
18971 	| 0
19216 	| 0
20534 	| 0
21776 	| 0.0475834
21860 	| 0.0290139
25205 	| 0
178 	| 0.0237953
1248 	| 0.00421358
1403 	| 0.0391577
2368 	| 0.0663519
2420 	| 0.0326787
16210 	| 0.0689113
18681 	| 0.00851192
20641 	| 0
24762 	| 0.0269021
2307 	| 0
6934 	| 0.11971
22423 	| 0.122198
231 	| 0.208508
345 	| 0.00685802
1186 	| 0.0269
1234 	| 0.061583
1841 	| 0
1997 	| 0
2404 	| 0.00914092
2450 	| 0
2980 	| 0.0294586
3409 	| 0.0201604
5134 	| 0.000159577
5578 	| 0
8503 	| 0.06954
9341 	| 0
9889 	| 0.205328
12503 	| 0.000296096
13060 	| 2.45852e-007
13597 	| 0.169245
16611 	| 0
18208 	| 0.322708
18543 	| 0.0411938
18866 	| 0.407238
22421 	| 0.000943377
22937 	| 0.0225141
23363 	| 0.0112798
23628 	| 0
25053 	| 0.00768706
25251 	| 0
2982 	| 0
4036 	| 0.0175789
4115 	| 1.31121e-006
12938 	| 0.000158433
13032 	| 0
19215 	| 0
21432 	| 0.149934
22726 	| 0
22834 	| 0.00283193
22966 	| 0
23511 	| 0
25528 	| 0
25836 	| 0.000160072
14376 	| 0
8710 	| 0
22483 	| 0.0380905
1375 	| 0.0081741
2846 	| 0.134822
5555 	| 0.0275174
5564 	| 0.0553761
5787 	| 0.0596012
9721 	| 0.0081741
10158 	| 0
10942 	| 0.088599
13600 	| 0
13929 	| 0.6658
21075 	| 0.134976
21316 	| 0
22900 	| 0
23637 	| 0.0468807
23770 	| 0.135388
25143 	| 0.00239572
25601 	| 0
25980 	| 0
17394 	| 0
18924 	| 0.0200393
3113 	| 0.112744
8312 	| 0.0081741
10765 	| 0
17538 	| 0
25978 	| 0
1172 	| 0.0490102
5674 	| 0
26194 	| 0
375 	| 0
1838 	| 0
12733 	| 0.044495
7188 	| 0.0530411
896 	| 0.00165347
921 	| 0
1508 	| 0
6815 	| 0.00158186
7209 	| 2.60911e-005
8279 	| 0.0011063
13008 	| 0.1296
18605 	| 0
21158 	| 0
4632 	| 0
7844 	| 0.0312462
11053 	| 0
11148 	| 0.00181481
13411 	| 0.00398664
14512 	| 0.0356623
16594 	| 0.00363446
16722 	| 0
16726 	| 0
16876 	| 0
19954 	| 0.00184166
19992 	| 0.0620544
20391 	| 0.0806502
20774 	| 0.000542726
23403 	| 0.0148613
4870 	| 0
5175 	| 0.0149644
8282 	| 0
22046 	| 0.0949186
2449 	| 0.0216298
4766 	| 0
3561 	| 0.0594625
4868 	| 0.0304959
8352 	| 0.00118785
10456 	| 0.077906
15365 	| 0.0081741
16931 	| 0.0897459
8157 	| 0
2120 	| 0
7713 	| 0
19052 	| 0
8302 	| 0
16484 	| 0
17778 	| 0.00975023
2556 	| 0.23483
19159 	| 0.00956389
21699 	| 2.88622e-005
25382 	| 0.000514867
8701 	| 0.0746483
523 	| 0.0081741
5464 	| 0.0300744
7774 	| 0.00118408
17379 	| 0.0933931
18008 	| 0.0081741
23385 	| 0
25868 	| 0
26170 	| 0.0034792
1310 	| 0.0411138
2922 	| 0.0134526
3651 	| 0.161606
6891 	| 0.0101009
10162 	| 0
10620 	| 0.0049673
11112 	| 0.0081741
13174 	| 0.0019516
14864 	| 0.0594556
17536 	| 0.108435
23153 	| 0
24340 	| 0.0281072
11102 	| 0.0549454
18592 	| 0.0245144
22765 	| 0
1896 	| 0.0571496
6838 	| 0.0407441
25220 	| 0
4180 	| 0.0485069
10055 	| 0.16473
12637 	| 0.061876
1832 	| 0
4383 	| 0
7014 	| 0
9397 	| 0.0305461
14344 	| 0.00409622
14385 	| 0
21379 	| 0.159073
24163 	| 0
4416 	| 0.122673
9241 	| 0.131879
2620 	| 0.066322
3679 	| 0.00429534
4364 	| 0.215911
5712 	| 0.0565682
13955 	| 0.0345071
14003 	| 0.0391813
15235 	| 0.061506
18227 	| 0.0199531
19445 	| 0
19495 	| 0
20168 	| 0.10661
23967 	| 0.300717
1116 	| 0.0660507
15399 	| 0.0081741
18222 	| 0.0245105
21287 	| 0.0167133
23227 	| 0
4624 	| 0.144506
5355 	| 0
6863 	| 0
12606 	| 0.02719
12968 	| 0.0448362
15770 	| 0.0326787
21322 	| 0
22265 	| 0.074116
22336 	| 0.0717443
23099 	| 0
23880 	| 0.0412175
25111 	| 0.0128159
4319 	| 0.00408607
12758 	| 0.00408607
22023 	| 0
14337 	| 0.0447111
5849 	| 0
10763 	| 0
11121 	| 0
11194 	| 0.0178869
15799 	| 0.0856835
16511 	| 0.0119991
16575 	| 0.0804706
16945 	| 0
21157 	| 0
2326 	| 0.010077
10253 	| 0
13190 	| 0.18034
14325 	| 0
19048 	| 0.0638746
20182 	| 0.0432876
3595 	| 0
18174 	| 0
17850 	| 0
20620 	| 0
12380 	| 0.0163462
3197 	| 0
6160 	| 0
8589 	| 0.00231355
9417 	| 0.0012405
9829 	| 0.129035
14638 	| 0.0484416
14924 	| 0.307648
15972 	| 0
17228 	| 0.11419
18940 	| 0.170887
19090 	| 0
19475 	| 0
20207 	| 0.0562174
22644 	| 0.151702
22790 	| 0.0414808
24001 	| 0.0115949
25228 	| 0
9710 	| 0.131012
3345 	| 0.0540226
3430 	| 0.0329453
5266 	| 0.0181598
5995 	| 0
7999 	| 0
8047 	| 0.0110519
8178 	| 0
8868 	| 0
10824 	| 0
15144 	| 0.120783
19107 	| 0.0116599
19806 	| 0
22439 	| 0
23304 	| 0
24431 	| 0.0327103
11077 	| 0.104239
10211 	| 0.0493171
14972 	| 0
15300 	| 0.115232
17158 	| 0
17162 	| 0
17403 	| 1.96682e-006
20149 	| 0
20519 	| 0
21389 	| 3.60583e-006
22951 	| 0.0481034
23912 	| 0
23918 	| 6.55606e-007
25589 	| 0
6895 	| 0
3076 	| 0.00109739
7444 	| 0.0256659
8972 	| 0.00597257
17308 	| 0
20574 	| 0.0393285
21629 	| 0.00740567
245 	| 0
4983 	| 0
13480 	| 0.0265632
14562 	| 0
15912 	| 0
16976 	| 0.0429283
19974 	| 0.0266322
22245 	| 0
414 	| 0
8708 	| 0
23776 	| 0
1044 	| 0.0222058
4975 	| 0.0174227
5809 	| 0
12587 	| 0.145751
16123 	| 0.0225457
20303 	| 0.0485974
4451 	| 0
9983 	| 0
15205 	| 6.55606e-007
15666 	| 0
15667 	| 0
19093 	| 0.0373661
21031 	| 0
24330 	| 0.0909952
5840 	| 0
6732 	| 0.00606334
8614 	| 0
13847 	| 0.031818
15081 	| 0.00462291
22609 	| 0.000118443
3310 	| 0.148045
5143 	| 0
9735 	| 0.0113576
17396 	| 0
26138 	| 0
4700 	| 0
5606 	| 0
1386 	| 0.00986606
1738 	| 0.0163443
2566 	| 0.0081741
2720 	| 0.0081741
5634 	| 0.00166662
9870 	| 0
16779 	| 0
24475 	| 0
25931 	| 0.04164
1817 	| 0.0245144
3725 	| 0.003546
5366 	| 0
15911 	| 0.003546
9800 	| 0.0145383
26141 	| 0
18001 	| 0
22177 	| 0.206568
25480 	| 0.0100265
1425 	| 0.0248298
2501 	| 0.0642232
2823 	| 0
5136 	| 0
7105 	| 0
7317 	| 0.00950292
9127 	| 0
14615 	| 0.146333
17089 	| 0.0200258
19454 	| 0
22758 	| 0.0449368
23841 	| 0.11007
3207 	| 0
7125 	| 0.0239958
20683 	| 0.0161498
25419 	| 0.0034196
2591 	| 0.0328416
8932 	| 0
9188 	| 0.00048806
9773 	| 0
13713 	| 0
19179 	| 0.0159158
14818 	| 0.00695179
26190 	| 0.0158476
3839 	| 0.0444142
13615 	| 0
16674 	| 0.0497726
7042 	| 0.0018472
9269 	| 0
11661 	| 0.0343025
21994 	| 0.0639042
9943 	| 0.00800519
10096 	| 0.139489
15614 	| 0.00474933
16368 	| 0.0990245
17285 	| 0.0438004
21407 	| 0.010392
8715 	| 0.00175305
21142 	| 0
21167 	| 0
13621 	| 0
25388 	| 0
284 	| 0
6427 	| 0.0408469
16835 	| 0
18677 	| 0
21696 	| 0
25854 	| 0
25940 	| 0.0489856
9485 	| 0
10435 	| 0.00168527
14698 	| 0
21823 	| 0.00168527
811 	| 0.0738015
9964 	| 0.00282004
11919 	| 0.0192675
15123 	| 0.0163443
17021 	| 0.0081741
19517 	| 0.096668
22989 	| 0.00696929
23485 	| 0.0127624
8069 	| 0.0081741
2127 	| 0
11712 	| 0.0846451
10871 	| 0.0729733
15829 	| 0.00921544
16106 	| 0.000486958
17207 	| 0.0523714
17670 	| 0.000486958
18286 	| 0.0196233
18612 	| 0.00146948
19234 	| 0
19724 	| 0
22876 	| 0.106114
3412 	| 0
894 	| 0.000433051
4814 	| 0.0279416
5441 	| 0.0018118
5717 	| 0.0470083
5934 	| 0.140733
9075 	| 0
10623 	| 0.00910921
11223 	| 0.00911856
11491 	| 0
12659 	| 0.0328402
14351 	| 0.0500922
19807 	| 0
21324 	| 0.0124217
21665 	| 0
22734 	| 0
22778 	| 0.0684259
23246 	| 0.00546532
25698 	| 0.112812
7615 	| 0.0639309
12806 	| 0.0704749
1620 	| 0.0420791
3922 	| 0.118131
9133 	| 0
9895 	| 0
9907 	| 0.0178025
11791 	| 0.0081741
18457 	| 0
19131 	| 0
19997 	| 0
21491 	| 0.137828
22426 	| 0.0383642
22791 	| 0
25158 	| 0.0303107
25316 	| 0.0330396
352 	| 0
3996 	| 0.0326826
10555 	| 0.0167158
15850 	| 0.00706782
19101 	| 0.0347381
20533 	| 0
21943 	| 0.0547319
22603 	| 0
23513 	| 6.55606e-007
25034 	| 0.224456
1280 	| 0
5851 	| 0
11591 	| 0.0323087
13520 	| 0.170395
16921 	| 0.0177726
21646 	| 0.0239574
17559 	| 0.0430851
1674 	| 0.00569214
3323 	| 0.0117312
8680 	| 0.000576589
9184 	| 0.126359
13813 	| 0.112634
19204 	| 0.0254263
19206 	| 6.46526e-005
19657 	| 0.0739399
20373 	| 0.233774
23204 	| 0.038571
409 	| 0
2474 	| 0.0081741
4241 	| 0.255748
6746 	| 0
10476 	| 0.0444315
16568 	| 0.0127341
21771 	| 0.193208
24620 	| 0.00751194
2081 	| 0
2664 	| 0
12212 	| 0.0688481
13528 	| 0
14628 	| 0
22574 	| 0.0393734
25872 	| 0
1545 	| 0.129484
2202 	| 0
15206 	| 0
17233 	| 0
18158 	| 0.00318829
21317 	| 0
24271 	| 0
8547 	| 0.00045184
10791 	| 0.123678
10919 	| 0
11275 	| 0.268137
15600 	| 0
15608 	| 0.0168934
16644 	| 0
24568 	| 0.0272828
25996 	| 0.00740068
26098 	| 0.0238724
1059 	| 0
6154 	| 0.0973946
7725 	| 0.0122634
11125 	| 0
13705 	| 0
15435 	| 0.0737788
16039 	| 0.040843
17821 	| 0
18540 	| 0.187397
20536 	| 0
23529 	| 0.037515
10588 	| 0.102215
3916 	| 0.00597052
4525 	| 0.0709171
4952 	| 0.370394
5352 	| 9.54126e-005
5729 	| 0
10490 	| 0.0591341
12101 	| 0.112972
13801 	| 1
15311 	| 0.0159362
21754 	| 0.124943
23134 	| 0.191017
24614 	| 0.0226125
4493 	| 0.00174797
14627 	| 0.0249852
23720 	| 0.00249136
930 	| 0.0081741
3946 	| 0
4760 	| 0
17189 	| 0
10463 	| 0
10526 	| 0
11788 	| 0
17746 	| 0.0226787
18189 	| 0
21438 	| 0
22611 	| 0
26038 	| 0.143923
4195 	| 0.00750582
7069 	| 0.0189444
9098 	| 0
17721 	| 0.0868854
21723 	| 0.0484101
24587 	| 0
7895 	| 0.0081741
11863 	| 0
12110 	| 0.00501618
1000 	| 0.393164
1149 	| 0.0692665
1694 	| 0.0298321
2115 	| 0.20953
4575 	| 0.0934441
5605 	| 0.0480638
6288 	| 0
12016 	| 0.0293366
12070 	| 0.0569075
13469 	| 0.10131
16101 	| 0.111537
18250 	| 0
20667 	| 0
20716 	| 0.292217
23107 	| 0.0560342
23344 	| 0.113025
23939 	| 0.187603
25402 	| 0.00723265
25948 	| 0.005563
6963 	| 0.0445884
8374 	| 0
17465 	| 0
19865 	| 0.458419
3006 	| 0.0616743
3630 	| 0.0236352
5901 	| 0.340704
5953 	| 0.0785623
7911 	| 0.0356346
8730 	| 0
10406 	| 0.0177302
12874 	| 0.00452964
13177 	| 0
16817 	| 0.0115834
19723 	| 0.00941914
24885 	| 0.0165357
13653 	| 0
22599 	| 0
3265 	| 0.132708
3998 	| 0.0081741
8513 	| 0
10501 	| 0
13029 	| 0.0326728
13622 	| 0
13682 	| 0
16324 	| 0.0514462
16640 	| 0.0305159
16749 	| 0
26059 	| 0
26065 	| 0.060143
580 	| 0
6431 	| 0
1877 	| 0.0362389
2042 	| 0.0971591
15880 	| 0.0771501
16967 	| 0.0300295
19710 	| 0
20014 	| 0.0201593
23163 	| 0
23225 	| 0
3683 	| 0
3845 	| 0
6748 	| 0
14664 	| 0
16065 	| 0
16963 	| 0
20650 	| 0.0081741
3804 	| 0.180977
4032 	| 0
5194 	| 0.0262207
23137 	| 0
11495 	| 0.000758249
12842 	| 0.0796494
495 	| 0
2742 	| 0
3965 	| 0
5622 	| 0
7855 	| 0
8928 	| 0
8968 	| 0.145025
9458 	| 0.00312957
17968 	| 0.0125625
18375 	| 0
8335 	| 0.10468
1104 	| 0.000676085
5427 	| 0
13322 	| 0
13529 	| 0
18619 	| 0.0466319
18751 	| 0.0384578
6494 	| 0.00787189
2526 	| 0.0019653
6364 	| 0.0106183
6857 	| 0.0624106
7853 	| 0.0046249
14976 	| 0.0046249
24781 	| 0.0439865
321 	| 0
21853 	| 0.0114271
884 	| 0
5469 	| 0
5575 	| 0
10183 	| 0
10966 	| 0.00992829
16624 	| 0
24699 	| 0.0372474
14308 	| 0.0155707
5166 	| 0.00733788
5597 	| 0.0653567
9066 	| 0.0140386
20787 	| 0.00215256
23836 	| 0.0668072
25050 	| 0.00735002
5287 	| 0.0473828
17273 	| 0.00128468
9283 	| 0.0557572
953 	| 0
17794 	| 0.00283836
114 	| 0
2348 	| 0
6631 	| 0
8854 	| 0.0163462
4290 	| 0
8200 	| 0
11113 	| 0
12302 	| 0
21017 	| 0
23297 	| 0.0165998
6355 	| 0
7194 	| 4.91705e-005
20960 	| 0
7542 	| 0
15322 	| 0
18415 	| 5.11373e-005
23066 	| 0.0326728
3765 	| 0.0619135
14500 	| 0
17918 	| 0.0245105
3418 	| 0.012928
4798 	| 0.0183138
12866 	| 0
20196 	| 0
2004 	| 0
21191 	| 0
21663 	| 0.0326728
14020 	| 0.0653161
22203 	| 0.0245144
1600 	| 0
15905 	| 0
21635 	| 0
16543 	| 0.0454562
238 	| 0.0163443
4793 	| 0.0209575
6218 	| 0.175409
15516 	| 0.0210234
16553 	| 0
16563 	| 5.90046e-006
16565 	| 0
22964 	| 0
8442 	| 0
10412 	| 0
8887 	| 0
6072 	| 0
491 	| 0.024319
1124 	| 0.0231672
1818 	| 0
4552 	| 0.0189288
5739 	| 0
6823 	| 0.096526
7882 	| 0.0150566
13328 	| 0.0253863
17039 	| 0
17082 	| 0.0466695
22028 	| 0.0081741
23454 	| 0
3681 	| 0
7126 	| 0
3547 	| 0.201851
449 	| 0.169089
882 	| 0.00282846
1405 	| 0
1498 	| 0
3033 	| 0
3048 	| 0.0338435
3511 	| 0
7091 	| 0
14707 	| 0.00764846
17245 	| 0.0380848
18340 	| 0
6804 	| 0.0285451
12260 	| 0
19624 	| 0.00860903
22826 	| 0.0112829
25491 	| 0
25844 	| 0
6184 	| 0
19161 	| 0.0081741
21831 	| 0
88 	| 0.000621382
1995 	| 0.000621382
2338 	| 0.000621382
2530 	| 0.000621382
2535 	| 0.000621382
4355 	| 0
4755 	| 0.000621382
5210 	| 0
6340 	| 0.000621382
7197 	| 0.000621382
7635 	| 0.000621382
8727 	| 0
9313 	| 0
9656 	| 0.000621382
9869 	| 0.000510822
10350 	| 0.0183717
12507 	| 0.000621382
12710 	| 0
14648 	| 0
14766 	| 0.000621382
15010 	| 0.000621382
15244 	| 0.251297
15245 	| 0
15457 	| 7.08055e-007
15933 	| 0.000510822
16654 	| 0.000621382
17807 	| 0.000621382
18225 	| 0.000621382
18453 	| 0.0428243
18778 	| 0.0267692
19114 	| 0
19446 	| 0
19645 	| 0.000621382
19939 	| 0.000621382
20346 	| 0
20576 	| 0.000510822
21178 	| 0
22504 	| 0
23712 	| 7.08055e-007
24453 	| 0.00517999
24718 	| 0.0510601
12308 	| 0
15935 	| 0.0081741
18276 	| 0
18904 	| 0.00950457
2190 	| 0
6172 	| 0.00739572
8592 	| 0.00739572
14933 	| 0
4249 	| 0
21718 	| 0.0142621
22290 	| 0
23441 	| 0.0274765
24113 	| 0
6421 	| 0.000373426
8224 	| 0.00113607
11182 	| 0.0133312
11696 	| 0.0945444
12286 	| 0.0387916
23423 	| 0.00715109
500 	| 0.00865947
2085 	| 0.00411227
2568 	| 1.31121e-006
3099 	| 0.00429156
4468 	| 0
4631 	| 0
9892 	| 0
10358 	| 0
10458 	| 0.0081741
10615 	| 0.00422645
11011 	| 3.27803e-006
12074 	| 0.00209576
13971 	| 0
